VARIABLE,VARIABLE_NAME,ITEM_DESCRIPTION,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,GEO_COVERAGE,SEASONALLY_ADJUSTED,SOURCE
harmonized_index_of_consumer_prices_repair_of_furniture_furnishings_and_floor_coverings_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Repair Of Furniture, Furnishings And Floor Coverings, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Repair Of Furniture, Furnishings And Floor Coverings",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_cigars_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Cigars, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Cigars,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_persistent_and_common_component_of_inflation_frequency_exclusion_measure_of_underlying_inflation_all_items_excluding_energy_and_food_threemonth_moving_average_annualized_european_central_bank_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Persistent And Common Component Of Inflation (Frequency Exclusion Measure Of Underlying Inflation - All Items Excluding Energy And Food), Three-Month Moving Average Annualized, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Percent",Principal Common Component Of Inflation (Excl. Energy And Food),Inflation,Percent,Monthly,3-month moving average (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_jewellery_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Jewellery, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Jewellery,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_major_durables_for_indoor_recreation_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Major Durables For Indoor Recreation, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Major Durables For Indoor Recreation,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_footwear_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Footwear, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Footwear,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_insurance_connected_with_the_dwelling_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Insurance Connected With The Dwelling, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Insurance Connected With The Dwelling,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_binding_services_and_ebook_downloads_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Binding Services And E-Book Downloads, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Binding Services And E-Book Downloads,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fruit_and_vegetable_juices_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Fruit And Vegetable Juices, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Fruit And Vegetable Juices,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
"estimates_of_the_overundervaluation_of_residential_property_prices_average_valuation_measures_for_all_types_of_property_poor_and_good_conditions_residential_property_prices,_existing_flats","Estimates of the over/undervaluation of residential property prices: Average valuation measures for all types of property (poor and good conditions) (Residential property prices, Existing flats)",,"Residential property prices, Existing flats",Percent,Quarterly,Average valuation measures for all types of property (poor and good conditions),Large cities,,European Central Bank (ECB)
harmonized_index_of_consumer_prices_cultural_services_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Cultural Services, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Cultural Services,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excluding_tobacco_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - All-Items Excluding Tobacco, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",All-Items Excluding Tobacco,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_motorised_major_tools_and_equipment_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Motorised Major Tools And Equipment, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Motorised Major Tools And Equipment,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_hairdressing_salons_and_personal_grooming_establishments_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Hairdressing Salons And Personal Grooming Establishments, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Hairdressing Salons And Personal Grooming Establishments,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_articles_for_personal_hygiene_and_wellness_esoteric_products_and_beauty_products_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_count,"Harmonized Index Of Consumer Prices - Articles For Personal Hygiene And Wellness, Esoteric Products And Beauty Products, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Count","Articles For Personal Hygiene And Wellness, Esoteric Products And Beauty Products",Harmonized Index Of Consumer Prices,Count,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_food_incl_alcohol_and_tobacco_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Food Incl. Alcohol And Tobacco, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Food Incl. Alcohol And Tobacco,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_alcoholic_soft_drinks_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Alcoholic Soft Drinks, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Alcoholic Soft Drinks,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_food_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Food, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Food,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fresh_or_chilled_seafood_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Fresh Or Chilled Seafood, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Fresh Or Chilled Seafood,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_personal_computers_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Personal Computers, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Personal Computers,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_educational_text_books_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Educational Text Books, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Educational Text Books,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_preserved_fruit_and_fruitbased_products_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Preserved Fruit And Fruit-Based Products, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Preserved Fruit And Fruit-Based Products,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_administered_energy_prices_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Administered Energy Prices, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Administered Energy Prices,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_products_for_pets_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Products For Pets, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Products For Pets,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_administered_energy_prices_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Administered Energy Prices, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Administered Energy Prices,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_passenger_transport_by_railway_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Passenger Transport By Railway, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Passenger Transport By Railway,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_chocolate_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Chocolate, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Chocolate,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_services_to_maintain_people_in_their_private_homes_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Services To Maintain People In Their Private Homes, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Services To Maintain People In Their Private Homes,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_industrial_goods_excluding_energy_semidurables_only_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Industrial Goods Excluding Energy, Semi-Durables Only, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Industrial Goods Excluding Energy, Semi-Durables Only",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_furniture_and_furnishings_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Furniture And Furnishings, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Furniture And Furnishings,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_tools_and_equipment_for_house_and_garden_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Tools And Equipment For House And Garden, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Tools And Equipment For House And Garden,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_stationery_and_drawing_materials_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Stationery And Drawing Materials, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Stationery And Drawing Materials,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
"estimates_of_the_overundervaluation_of_residential_property_prices_average_valuation_measures_for_all_types_of_property_poor_and_good_conditions_residential_property_prices,_existing_dwellings","Estimates of the over/undervaluation of residential property prices: Average valuation measures for all types of property (poor and good conditions) (Residential property prices, Existing dwellings)",,"Residential property prices, Existing dwellings",Percent,Quarterly,Average valuation measures for all types of property (poor and good conditions),Whole country,,European Central Bank (ECB)
harmonized_index_of_consumer_prices_other_fuels_for_personal_transport_equipment_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Fuels For Personal Transport Equipment, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Fuels For Personal Transport Equipment,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_information_transmission_services_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Information Transmission Services, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Information Transmission Services,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_flours_and_other_cereals_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Flours And Other Cereals, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Flours And Other Cereals,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_overall_index_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Overall Index, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Overall Index,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_tobacco_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Tobacco, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Tobacco,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_newspapers_and_periodicals_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Newspapers And Periodicals, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Newspapers And Periodicals,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excl_education_health_and_social_protection_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - All-Items Excl. Education, Health And Social Protection, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","All-Items Excl. Education, Health And Social Protection",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_binding_services_and_ebook_downloads_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Binding Services And E-Book Downloads, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Binding Services And E-Book Downloads,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_administrative_fees_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Administrative Fees, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Administrative Fees,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_major_household_appliances_small_electric_hous_appl_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Major Household Appliances, Small Electric Hous. Appl., Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points","Major Household Appliances, Small Electric Hous. Appl.",Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_restaurants_cafes_and_dancing_establishments_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Restaurants, Cafes And Dancing Establishments, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Restaurants, Cafes And Dancing Establishments",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_catering_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Catering Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Catering Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_boats_outboard_motors_and_fitting_out_of_boats_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Boats, Outboard Motors And Fitting Out Of Boats, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Boats, Outboard Motors And Fitting Out Of Boats",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fortified_wines_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Fortified Wines, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Fortified Wines,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_food_products_nec_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Food Products N.E.C., Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Food Products N.E.C.,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_tea_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Tea, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Tea,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_pizza_and_quiche_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Pizza And Quiche, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Pizza And Quiche,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_jams_marmalades_and_honey_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Jams, Marmalades And Honey, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Jams, Marmalades And Honey",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_cultural_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Cultural Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Cultural Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_television_and_radio_licence_fees_subscriptions_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Television And Radio Licence Fees, Subscriptions, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Television And Radio Licence Fees, Subscriptions",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_recreational_items_and_equipment_gardens_and_pets_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Other Recreational Items And Equipment, Gardens And Pets, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points","Other Recreational Items And Equipment, Gardens And Pets",Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_equipment_for_sport_camping_and_openair_recreation_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Equipment For Sport, Camping And Open-Air Recreation, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Equipment For Sport, Camping And Open-Air Recreation",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_equipment_for_the_reception_recording_and_reproduction_of_sound_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Equipment For The Reception, Recording And Reproduction Of Sound, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Equipment For The Reception, Recording And Reproduction Of Sound",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_toys_and_celebration_articles_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Toys And Celebration Articles, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Toys And Celebration Articles,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_nonelectric_kitchen_utensils_and_articles_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Non-Electric Kitchen Utensils And Articles, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Non-Electric Kitchen Utensils And Articles,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_tools_and_equipment_for_house_and_garden_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Tools And Equipment For House And Garden, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Tools And Equipment For House And Garden,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_funeral_services_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Funeral Services, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Funeral Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_postal_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Postal Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Postal Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_clothing_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Clothing, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Clothing,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_postal_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Postal Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Postal Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_communication_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Communication, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Communication,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
