VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"JOLTS:_Job_openings,_Financial_activities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Financial activities, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Financial activities,All size classes
"JOLTS:_Job_openings,_Educational_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Educational services, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Educational services,All size classes
"JOLTS:_Hires,_Real_estate_and_rental_and_leasing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Hires, Real estate and rental and leasing, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Hires,Real estate and rental and leasing,All size classes
"JOLTS:_Layoffs_and_discharges,_Total_private,_1_to_9_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Total private, 1 to 9 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Total private,1 to 9 employees
"JOLTS:_Job_openings,_Leisure_and_hospitality,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Leisure and hospitality, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,Leisure and hospitality,All size classes
"JOLTS:_Total_separations,_Other_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Other services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,Other services,All size classes
"JOLTS:_Quits,_Total_private,_1_to_9_employees,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Total private, 1 to 9 employees, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Quits,Total private,1 to 9 employees
"JOLTS:_Hires,_Total_nonfarm,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Total nonfarm, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Total nonfarm,All size classes
"JOLTS:_Hires,_Professional_and_business_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Hires, Professional and business services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Hires,Professional and business services,All size classes
"JOLTS:_Other_separations,_Accommodation_and_food_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Accommodation and food services, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Accommodation and food services,All size classes
"JOLTS:_Hires,_State_and_local_government,_excluding_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, State and local government, excluding education, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,"State and local government, excluding education",All size classes
"JOLTS:_Job_openings,_Health_care_and_social_assistance,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Health care and social assistance, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Health care and social assistance,All size classes
"JOLTS:_Quits,_Professional_and_business_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Professional and business services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Professional and business services,All size classes
"JOLTS:_Job_openings,_State_and_local_government_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, State and local government education, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Job openings,State and local government education,All size classes
"JOLTS:_Other_separations,_Real_estate_and_rental_and_leasing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Other separations, Real estate and rental and leasing, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Other separations,Real estate and rental and leasing,All size classes
"JOLTS:_Hires,_Federal,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Federal, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Hires,Federal,All size classes
"JOLTS:_Job_openings,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Nondurable goods manufacturing,All size classes
"JOLTS:_Layoffs_and_discharges,_Transportation,_warehousing,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Layoffs and discharges, Transportation, warehousing, and utilities, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Layoffs and discharges,"Transportation, warehousing, and utilities",All size classes
"JOLTS:_Quits,_Federal,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Federal, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,Federal,All size classes
"JOLTS:_Job_openings,_Arts,_entertainment,_and_recreation,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Arts, entertainment, and recreation, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Job openings,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Total_separations,_Manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, Manufacturing, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,Manufacturing,All size classes
"JOLTS:_Other_separations,_Total_private,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Total private, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Total private,All size classes
"JOLTS:_Job_openings,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,Nondurable goods manufacturing,All size classes
"JOLTS:_Job_openings,_Federal,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, Federal, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,Federal,All size classes
"JOLTS:_Quits,_Accommodation_and_food_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Accommodation and food services, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,Accommodation and food services,All size classes
"JOLTS:_Total_separations,_Finance_and_insurance,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Finance and insurance, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Total separations,Finance and insurance,All size classes
"JOLTS:_Other_separations,_Total_private,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Other separations, Total private, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Other separations,Total private,All size classes
"JOLTS:_Hires,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Mining and logging, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,Mining and logging,All size classes
"JOLTS:_Other_separations,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Other separations, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Other separations,Nondurable goods manufacturing,All size classes
"JOLTS:_Layoffs_and_discharges,_Nondurable_goods_manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Nondurable goods manufacturing, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Layoffs and discharges,Nondurable goods manufacturing,All size classes
"JOLTS:_Job_openings,_Accommodation_and_food_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Accommodation and food services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,Accommodation and food services,All size classes
"JOLTS:_Layoffs_and_discharges,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Layoffs and discharges, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Layoffs and discharges,Nondurable goods manufacturing,All size classes
"JOLTS:_Quits,_Accommodation_and_food_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Accommodation and food services, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Quits,Accommodation and food services,All size classes
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Education_and_Health_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of All Employees, Education and Health Services, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of All Employees,Education and Health Services,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Goods_Producing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Goods Producing, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Goods Producing,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Leisure_and_Hospitality:_Food_Services_and_Drinking_Places,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Leisure and Hospitality: Food Services and Drinking Places, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Leisure and Hospitality: Food Services and Drinking Places,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Education_and_Health_Services:_Health_Care_and_Social_Assistance,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Education and Health Services: Health Care and Social Assistance, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Education and Health Services: Health Care and Social Assistance,
"State_and_Metro_Employment:_All_Employees,_Government:_State_Government,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Government: State Government, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Government: State Government,
"State_and_Metro_Employment:_All_Employees,_Wholesale_Trade:_Miscellaneous_Durable_Goods_Merchant_Wholesalers,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Wholesale Trade: Miscellaneous Durable Goods Merchant Wholesalers, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Wholesale Trade: Miscellaneous Durable Goods Merchant Wholesalers,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Individual_and_Family_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: Individual and Family Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Education and Health Services: Individual and Family Services,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Education_and_Health_Services:_Hospitals,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Education and Health Services: Hospitals, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Education and Health Services: Hospitals,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Leisure_and_Hospitality:_Other_Amusement_and_Recreation_Industries,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Leisure and Hospitality: Other Amusement and Recreation Industries, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Leisure and Hospitality: Other Amusement and Recreation Industries,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Spectator_Sports,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Leisure and Hospitality: Spectator Sports, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Spectator Sports,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_All_Employees,_Total_Private,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of All Employees, Total Private, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of All Employees,Total Private,
"JOLTS:_Quits,_Educational_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Educational services, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Quits,Educational services,All size classes
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Education_and_Health_Services:_Nursing_and_Residential_Care_Facilities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Education and Health Services: Nursing and Residential Care Facilities, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Education and Health Services: Nursing and Residential Care Facilities,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Financial_Activities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of All Employees, Financial Activities, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of All Employees,Financial Activities,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Wholesale_Trade:_Machinery,_Equipment,_and_Supplies_Merchant_Wholesalers,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Wholesale Trade: Machinery, Equipment, and Supplies Merchant Wholesalers, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,"Wholesale Trade: Machinery, Equipment, and Supplies Merchant Wholesalers",
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Traveler_Accommodation,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Leisure and Hospitality: Traveler Accommodation, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Traveler Accommodation,
"JOLTS:_Job_openings,_Wholesale_trade,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Wholesale trade, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Wholesale trade,All size classes
"JOLTS:_Total_separations,_State_and_local_government,_excluding_education,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, State and local government, excluding education, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,"State and local government, excluding education",All size classes
"JOLTS:_Layoffs_and_discharges,_Nondurable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Nondurable goods manufacturing, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Layoffs and discharges,Nondurable goods manufacturing,All size classes
"JOLTS:_Quits,_Financial_activities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Financial activities, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Quits,Financial activities,All size classes
"JOLTS:_Total_separations,_Total_private,_1_to_9_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Total private, 1 to 9 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Total separations,Total private,1 to 9 employees
"JOLTS:_Hires,_Accommodation_and_food_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Accommodation and food services, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Accommodation and food services,All size classes
"JOLTS:_Layoffs_and_discharges,_Leisure_and_hospitality,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Layoffs and discharges, Leisure and hospitality, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Layoffs and discharges,Leisure and hospitality,All size classes
"JOLTS:_Quits,_Total_private,_1_to_9_employees,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Total private, 1 to 9 employees, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,Total private,1 to 9 employees
"JOLTS:_Job_openings,_Accommodation_and_food_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Accommodation and food services, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Accommodation and food services,All size classes
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Goods_Producing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of All Employees, Goods Producing, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Goods Producing,
"State_and_Metro_Employment:_All_Employees,_Retail_Trade:_Food_and_Beverage_Stores,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Retail Trade: Food and Beverage Stores, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Retail Trade: Food and Beverage Stores,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Accommodation_and_Food_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Leisure and Hospitality: Accommodation and Food Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Accommodation and Food Services,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Computer_Systems_Design_and_Related_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Computer Systems Design and Related Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services: Computer Systems Design and Related Services,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Manufacturing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Securities_and_Commodity_Contracts_Intermediation_and_Brokerage,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Financial Activities: Securities and Commodity Contracts Intermediation and Brokerage, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Financial Activities: Securities and Commodity Contracts Intermediation and Brokerage,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Durable_Goods:_Motor_Vehicle_Parts_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Durable Goods: Motor Vehicle Parts Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Durable Goods: Motor Vehicle Parts Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Direct_Life_Insurance_Carriers,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Financial Activities: Direct Life Insurance Carriers, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Financial Activities: Direct Life Insurance Carriers,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Professional_and_Business_Services:_Professional,_Scientific,_and_Technical_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Professional and Business Services: Professional, Scientific, and Technical Services, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,"Professional and Business Services: Professional, Scientific, and Technical Services",
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Information:_Motion_Picture_and_Sound_Recording_Industries,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Information: Motion Picture and Sound Recording Industries, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Information: Motion Picture and Sound Recording Industries,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Converted_Paper_Product_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Non-Durable Goods: Converted Paper Product Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Converted Paper Product Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Apparel_Knitting_Mills,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Non-Durable Goods: Apparel Knitting Mills, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Apparel Knitting Mills,
"JOLTS:_Other_separations,_State_and_local_government,_excluding_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, State and local government, excluding education, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,"State and local government, excluding education",All size classes
"JOLTS:_Job_openings,_Total_private,_5,000_or_more_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Total private, 5,000 or more employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Total private,"5,000 or more employees"
"JOLTS:_Other_separations,_Professional_and_business_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Professional and business services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Other separations,Professional and business services,All size classes
"JOLTS:_Hires,_State_and_local_government_education,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Hires, State and local government education, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Hires,State and local government education,All size classes
"JOLTS:_Quits,_Leisure_and_hospitality,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Leisure and hospitality, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Quits,Leisure and hospitality,All size classes
"JOLTS:_Other_separations,_Educational_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Educational services, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Other separations,Educational services,All size classes
"JOLTS:_Job_openings,_Federal,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Federal, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Federal,All size classes
"JOLTS:_Total_separations,_Professional_and_business_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Professional and business services, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Total separations,Professional and business services,All size classes
"JOLTS:_Hires,_State_and_local_government,_excluding_education,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Hires, State and local government, excluding education, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Hires,"State and local government, excluding education",All size classes
"JOLTS:_Hires,_Information,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Information, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Hires,Information,All size classes
"JOLTS:_Total_separations,_Manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Manufacturing, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Total separations,Manufacturing,All size classes
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Construction,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Construction, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Construction,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Leisure_and_Hospitality:_Food_Services_and_Drinking_Places,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Leisure and Hospitality: Food Services and Drinking Places, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Leisure and Hospitality: Food Services and Drinking Places,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Travel_Arrangement_and_Reservation_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Professional and Business Services: Travel Arrangement and Reservation Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Professional and Business Services: Travel Arrangement and Reservation Services,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Rubber_Product_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Non-Durable Goods: Rubber Product Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Rubber Product Manufacturing,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Construction:_Specialty_Trade_Contractors,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Production or Nonsupervisory Employees, Construction: Specialty Trade Contractors, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Construction: Specialty Trade Contractors,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Durable_Goods:_Fabricated_Metal_Product_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Durable Goods: Fabricated Metal Product Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Durable Goods: Fabricated Metal Product Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Construction:_Highway,_Street,_and_Bridge_Construction,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Construction: Highway, Street, and Bridge Construction, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Construction: Highway, Street, and Bridge Construction",
"State_and_Metro_Employment:_All_Employees,_Mining_and_Logging:_Oil_and_Gas_Extraction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Mining and Logging: Oil and Gas Extraction, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Mining and Logging: Oil and Gas Extraction,
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Office_Administrative_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Professional and Business Services: Office Administrative Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Professional and Business Services: Office Administrative Services,
